product_id,product_name,category,old_name,price,base_price,status,amount,region,priority,user_id
101,Laptop,Electronics,HP Laptop,55000.0,50000,Completed,1500,North,High,U001
102,Mouse,Electronics,Dell Mouse,800.0,700,Pending,500,South,Low,U002
103,Table,Furniture,Wood Table,4000.0,3500,Completed,2000,East,Medium,U003
104,TV,Electronics,Samsung TV,45000.0,42000,Completed,3000,North,High,U004
105,Chair,Furniture,Office Chair,,1500,Pending,700,West,Low,
106,Mobile,Electronics,OnePlus Mobile,30000.0,28000,Completed,2500,North,Medium,U006
107,Keyboard,Electronics,Mechanical Keyboard,2500.0,2200,Completed,1200,South,High,U007
108,Sofa,Furniture,Leather Sofa,18000.0,16000,Cancelled,800,East,Low,U008
109,Monitor,Electronics,LG Monitor,15000.0,14000,Completed,1800,North,High,U009
110,Printer,Electronics,HP Printer,9000.0,8500,Pending,950,West,Medium,U010
111,Shoes,Electronics,Item_111,816.5,750,Cancelled,2462,North,High,U242
112,Sofa,Furniture,Item_112,3697.95,3063,Cancelled,6669,South,High,U070
113,Bag,Electronics,Item_113,4608.44,3663,Completed,115,North,Medium,U242
114,Shoes,Furniture,Item_114,5820.73,4568,Pending,4381,East,Low,U101
115,Phone,Furniture,Item_115,5839.12,4586,Cancelled,3316,West,Medium,U249
116,Camera,Furniture,Item_116,227.84,200,Completed,9333,South,High,U013
117,Watch,Electronics,Item_117,4025.57,3427,Pending,3864,North,High,U023
118,Sofa,Furniture,Item_118,6011.8,4561,Pending,8689,West,Medium,U188
119,Sofa,Electronics,Item_119,324.94,237,Completed,4049,North,High,U013
120,Headphones,Furniture,Item_120,2157.79,1637,Pending,4439,North,Medium,U072
121,Bag,Furniture,Item_121,3853.47,3010,Completed,4023,West,Low,U089
122,Shoes,Electronics,Item_122,5953.81,4418,Cancelled,4329,North,High,U056
123,Monitor,Electronics,Item_123,2198.77,1775,Completed,5685,South,Low,U236
124,Headphones,Furniture,Item_124,1840.36,1510,Pending,3173,West,Medium,U121
