item_id,order_id,product_id,quantity,unit_price,discount_percent
ITEM-000001,ORD-00142,PROD-0008,4,69.98,20.0
ITEM-000002,ORD-00166,PROD-0007,4,29.98,20.0
ITEM-000003,ORD-00347,PROD-0004,1,119.98,20.0
ITEM-000004,ORD-00094,PROD-0010,5,499.98,5.0
ITEM-000005,ORD-00091,PROD-0005,3,49.98,0.0
ITEM-000006,ORD-00039,PROD-0025,4,250.0,10.0
ITEM-000007,ORD-00534,PROD-0019,5,40.0,0.0
ITEM-000008,ORD-00180,PROD-0032,2,52.0,20.0
ITEM-000009,ORD-00531,PROD-0019,5,40.0,10.0
ITEM-000010,ORD-00529,PROD-0015,1,55.0,0.0
ITEM-000011,ORD-00245,PROD-0001,1,799.98,0.0
ITEM-000012,ORD-00410,PROD-0023,4,40.0,10.0
ITEM-000013,ORD-00206,PROD-0001,1,799.98,0.0
ITEM-000014,ORD-00563,PROD-0019,5,40.0,10.0
ITEM-000015,ORD-00357,PROD-0023,3,40.0,0.0
ITEM-000016,ORD-00200,PROD-0030,5,32.0,0.0
ITEM-000017,ORD-00268,PROD-0012,1,19.98,10.0
ITEM-000018,ORD-00075,PROD-0033,1,22.0,20.0
ITEM-000019,ORD-00526,PROD-0017,5,120.0,0.0
ITEM-000020,ORD-00454,PROD-0025,2,250.0,20.0
ITEM-000021,ORD-00348,PROD-0030,5,32.0,20.0
ITEM-000022,ORD-00029,PROD-0031,1,28.0,5.0
ITEM-000023,ORD-00226,PROD-0015,4,55.0,0.0
ITEM-000024,ORD-00529,PROD-0001,3,799.98,0.0
ITEM-000025,ORD-00295,PROD-0006,3,59.98,0.0
ITEM-000026,ORD-00568,PROD-0012,3,19.98,0.0
ITEM-000027,ORD-00588,PROD-0018,2,12.5,5.0
ITEM-000028,ORD-00205,PROD-0016,3,25.0,0.0
ITEM-000029,ORD-00235,PROD-0013,5,45.0,0.0
ITEM-000030,ORD-00160,PROD-0007,1,29.98,15.0
ITEM-000031,ORD-00505,PROD-0001,5,799.98,0.0
ITEM-000032,ORD-00494,PROD-0024,4,130.0,10.0
