order_id,customer_id,order_date,status,region_code
ORD-00001,CUST-0170,2024-06-13 17:56:20,DELIVERED,US-EAST
ORD-00002,CUST-0086,2024-07-08 04:27:11,DELIVERED,US-WEST
ORD-00003,CUST-0196,2025-03-06 11:10:55,SHIPPED,US-WEST
ORD-00004,CUST-0038,2025-04-07 21:54:10,CANCELLED,US-WEST
ORD-00005,CUST-0139,2024-07-13 16:31:58,SHIPPED,US-EAST
ORD-00006,CUST-0092,2024-07-03 19:21:59,PLACED,EU-CENTRAL
ORD-00007,CUST-0190,2024-11-22 23:16:24,DELIVERED,APAC-SOUTH
ORD-00008,CUST-0093,2025-02-02 15:26:56,DELIVERED,US-WEST
ORD-00009,CUST-0012,2025-07-18 20:47:31,CANCELLED,LATAM
ORD-00010,CUST-0165,2024-01-25 04:41:24,DELIVERED,APAC-SOUTH
ORD-00011,CUST-0028,2025-01-15 19:16:25,DELIVERED,US-EAST
ORD-00012,CUST-0038,2024-02-21 00:24:20,DELIVERED,LATAM
ORD-00013,CUST-0084,2024-10-22 20:34:21,DELIVERED,APAC-SOUTH
ORD-00014,CUST-0111,2024-03-18 00:49:13,SHIPPED,LATAM
ORD-00015,CUST-0056,2024-11-30 01:05:05,SHIPPED,EU-CENTRAL
ORD-00016,CUST-0103,2024-11-19 02:36:32,DELIVERED,EU-CENTRAL
ORD-00017,CUST-0096,2024-04-28 13:23:44,DELIVERED,US-EAST
ORD-00018,CUST-0024,2024-12-01 10:45:42,DELIVERED,US-WEST
ORD-00019,CUST-0151,2025-03-12 04:43:46,DELIVERED,APAC-SOUTH
ORD-00020,CUST-0171,2024-11-24 12:06:51,DELIVERED,EU-CENTRAL
ORD-00021,CUST-0091,2024-03-21 11:15:16,SHIPPED,APAC-SOUTH
ORD-00022,CUST-0028,2024-09-28 22:35:52,DELIVERED,EU-CENTRAL
ORD-00023,CUST-0110,2025-03-11 17:09:30,DELIVERED,LATAM
ORD-00024,CUST-0143,2024-01-21 09:24:24,DELIVERED,EU-CENTRAL
ORD-00025,UNASSIGNED,2024-07-31 06:07:45,DELIVERED,EU-CENTRAL
ORD-00026,CUST-0047,2024-04-21 06:24:04,DELIVERED,US-WEST
ORD-00027,CUST-0008,2024-03-12 06:29:13,SHIPPED,APAC-SOUTH
ORD-00028,CUST-0041,2024-10-14 10:17:22,DELIVERED,LATAM
ORD-00029,CUST-0014,2024-04-30 20:13:10,DELIVERED,US-EAST
ORD-00030,CUST-0170,2024-11-25 08:12:29,DELIVERED,EU-CENTRAL
ORD-00031,CUST-0132,2024-03-29 09:42:43,SHIPPED,LATAM
ORD-00032,CUST-0171,2024-08-27 13:21:15,DELIVERED,LATAM
ORD-00033,CUST-0053,2024-08-22 02:51:50,DELIVERED,EU-CENTRAL
ORD-00034,CUST-0031,2024-01-07 00:05:45,DELIVERED,US-WEST
ORD-00035,CUST-0181,2024-06-27 17:34:28,DELIVERED,EU-CENTRAL
ORD-00036,CUST-0190,2024-02-02 20:34:16,DELIVERED,US-EAST
ORD-00037,CUST-0148,2024-11-29 10:26:20,DELIVERED,APAC-SOUTH
ORD-00038,CUST-0104,2024-01-17 04:47:39,SHIPPED,LATAM
ORD-00039,CUST-0177,2024-10-08 01:25:23,DELIVERED,US-WEST
ORD-00040,CUST-0103,2025-02-10 23:22:11,CANCELLED,EU-CENTRAL
ORD-00041,CUST-0200,2024-05-10 14:13:15,DELIVERED,LATAM
ORD-00042,CUST-0199,2024-09-28 08:49:37,RETURNED,US-WEST
ORD-00043,CUST-0038,2024-07-17 19:35:36,DELIVERED,US-EAST
ORD-00044,CUST-0198,2025-05-02 17:48:48,DELIVERED,LATAM
ORD-00045,CUST-0145,2025-05-14 10:14:11,DELIVERED,EU-CENTRAL
ORD-00046,CUST-0018,2024-12-30 05:19:21,DELIVERED,EU-CENTRAL
ORD-00047,CUST-0091,2025-01-29 01:26:42,DELIVERED,US-EAST
ORD-00048,CUST-0074,2024-02-29 14:22:10,RETURNED,US-EAST
ORD-00049,CUST-0130,2024-10-25 15:16:22,DELIVERED,US-EAST
ORD-00050,CUST-0147,2025-05-21 07:07:51,DELIVERED,LATAM
ORD-00051,CUST-0016,2024-12-15 22:21:34,CANCELLED,EU-CENTRAL
ORD-00052,CUST-0022,2025-01-26 21:28:30,PLACED,APAC-SOUTH
